official_name_en,Capital,Continent,Developed / Developing Countries,FIFA,Sub-region Name
,Taipei,AS,,TPE,
Afghanistan,Kabul,AS,Developing,AFG,Southern Asia
Albania,Tirana,EU,Developed,ALB,Southern Europe
Algeria,Algiers,AF,Developing,ALG,Northern Africa
American Samoa,Pago Pago,OC,Developing,ASA,Polynesia
Andorra,Andorra la Vella,EU,Developed,AND,Southern Europe
Angola,Luanda,AF,Developing,ANG,Sub-Saharan Africa
Anguilla,The Valley,NA,Developing,AIA,Latin America and the Caribbean
Antarctica,,AN,,ROS,
Antigua & Barbuda,St. John's,NA,Developing,ATG,Latin America and the Caribbean
Argentina,Buenos Aires,SA,Developing,ARG,Latin America and the Caribbean
Armenia,Yerevan,AS,Developing,ARM,Western Asia
Aruba,Oranjestad,NA,Developing,ARU,Latin America and the Caribbean
Australia,Canberra,OC,Developed,AUS,Australia and New Zealand
Austria,Vienna,EU,Developed,AUT,Western Europe
Azerbaijan,Baku,AS,Developing,AZE,Western Asia
Bahamas,Nassau,NA,Developing,BAH,Latin America and the Caribbean
Bahrain,Manama,AS,Developing,BHR,Western Asia
Bangladesh,Dhaka,AS,Developing,BAN,Southern Asia
Barbados,Bridgetown,NA,Developing,BRB,Latin America and the Caribbean
Belarus,Minsk,EU,Developed,BLR,Eastern Europe
Belgium,Brussels,EU,Developed,BEL,Western Europe
Belize,Belmopan,NA,Developing,BLZ,Latin America and the Caribbean
Benin,Porto-Novo,AF,Developing,BEN,Sub-Saharan Africa
Bermuda,Hamilton,NA,Developed,BER,Northern America
Bhutan,Thimphu,AS,Developing,BHU,Southern Asia
Bolivia,Sucre,SA,Developing,BOL,Latin America and the Caribbean
"Bonaire, Sint Eustatius and Saba",,NA,Developing,ANT,Latin America and the Caribbean
Bosnia Herzegovina,Sarajevo,EU,Developed,BIH,Southern Europe
Botswana,Gaborone,AF,Developing,BOT,Sub-Saharan Africa
Bouvet Island,,AN,Developing,,Latin America and the Caribbean
Brazil,Brasilia,SA,Developing,BRA,Latin America and the Caribbean
British Indian Ocean Territory,Diego Garcia,AS,Developing,,Sub-Saharan Africa
British Virgin Islands,Road Town,NA,Developing,VGB,Latin America and the Caribbean
Brunei Darussalam,Bandar Seri Begawan,AS,Developing,BRU,South-eastern Asia
Bulgaria,Sofia,EU,Developed,BUL,Eastern Europe
Burkina Faso,Ouagadougou,AF,Developing,BFA,Sub-Saharan Africa
Burundi,Bujumbura,AF,Developing,BDI,Sub-Saharan Africa
Cape Verde,Praia,AF,Developing,CPV,Sub-Saharan Africa
Cambodia,Phnom Penh,AS,Developing,CAM,South-eastern Asia
Cameroon,Yaounde,AF,Developing,CMR,Sub-Saharan Africa
Canada,Ottawa,NA,Developed,CAN,Northern America
Cayman Islands,George Town,NA,Developing,CAY,Latin America and the Caribbean
Central African Rep.,Bangui,AF,Developing,CTA,Sub-Saharan Africa
Chad,N'Djamena,AF,Developing,CHA,Sub-Saharan Africa
Chile,Santiago,SA,Developing,CHI,Latin America and the Caribbean
China PR,Beijing,AS,Developing,CHN,Eastern Asia
Hong Kong,Hong Kong,AS,Developing,HKG,Eastern Asia
"China, Macao Special Administrative Region",Macao,AS,Developing,MAC,Eastern Asia
Christmas Island,Flying Fish Cove,AS,Developed,CXR,Australia and New Zealand
Cocos (Keeling) Islands,West Island,AS,Developed,CCK,Australia and New Zealand
Colombia,Bogota,SA,Developing,COL,Latin America and the Caribbean
Comoros,Moroni,AF,Developing,COM,Sub-Saharan Africa
Congo,Brazzaville,AF,Developing,CGO,Sub-Saharan Africa
Cook Islands,Avarua,OC,Developing,COK,Polynesia
Costa Rica,San Jose,NA,Developing,CRC,Latin America and the Caribbean
Croatia,Zagreb,EU,Developed,CRO,Southern Europe
Cuba,Havana,NA,Developing,CUB,Latin America and the Caribbean
Curacao, Willemstad,NA,Developing,,Latin America and the Caribbean
Cyprus,Nicosia,EU,Developing,CYP,Western Asia
Czech Republic,Prague,EU,Developed,CZE,Eastern Europe
Ivory Coast,Yamoussoukro,AF,Developing,CIV,Sub-Saharan Africa
Korea DPR,Pyongyang,AS,Developing,PRK,Eastern Asia
DR Congo,Kinshasa,AF,Developing,COD,Sub-Saharan Africa
Denmark,Copenhagen,EU,Developed,DEN,Northern Europe
Djibouti,Djibouti,AF,Developing,DJI,Sub-Saharan Africa
Dominica,Roseau,NA,Developing,DMA,Latin America and the Caribbean
Dominican Republic,Santo Domingo,NA,Developing,DOM,Latin America and the Caribbean
Ecuador,Quito,SA,Developing,ECU,Latin America and the Caribbean
Egypt,Cairo,AF,Developing,EGY,Northern Africa
El Salvador,San Salvador,NA,Developing,SLV,Latin America and the Caribbean
Equatorial Guinea,Malabo,AF,Developing,EQG,Sub-Saharan Africa
Eritrea,Asmara,AF,Developing,ERI,Sub-Saharan Africa
Estonia,Tallinn,EU,Developed,EST,Northern Europe
Ethiopia,Addis Ababa,AF,Developing,ETH,Sub-Saharan Africa
Falkland Islands (Malvinas),Stanley,SA,Developing,FLK,Latin America and the Caribbean
Faroe Islands,Torshavn,EU,Developed,FRO,Northern Europe
Fiji,Suva,OC,Developing,FIJ,Melanesia
Finland,Helsinki,EU,Developed,FIN,Northern Europe
France,Paris,EU,Developed,FRA,Western Europe
French Guiana,Cayenne,SA,Developing,GUF,Latin America and the Caribbean
French Polynesia,Papeete,OC,Developing,TAH,Polynesia
French Southern Territories,Port-aux-Francais,AN,Developing,,Sub-Saharan Africa
Gabon,Libreville,AF,Developing,GAB,Sub-Saharan Africa
Gambia,Banjul,AF,Developing,GAM,Sub-Saharan Africa
Georgia,Tbilisi,AS,Developing,GEO,Western Asia
Germany,Berlin,EU,Developed,GER,Western Europe
Ghana,Accra,AF,Developing,GHA,Sub-Saharan Africa
Gibraltar,Gibraltar,EU,Developed,GBZ,Southern Europe
Greece,Athens,EU,Developed,GRE,Southern Europe
Greenland,Nuuk,NA,Developed,GRL,Northern America
Grenada,St. George's,NA,Developing,GRN,Latin America and the Caribbean
Guadeloupe,Basse-Terre,NA,Developing,GLP,Latin America and the Caribbean
Guam,Hagatna,OC,Developing,GUM,Micronesia
Guatemala,Guatemala City,NA,Developing,GUA,Latin America and the Caribbean
Guernsey,St Peter Port,EU,Developed,GBG,Northern Europe
Guinea,Conakry,AF,Developing,GUI,Sub-Saharan Africa
Guinea Bissau,Bissau,AF,Developing,GNB,Sub-Saharan Africa
Guyana,Georgetown,SA,Developing,GUY,Latin America and the Caribbean
Haiti,Port-au-Prince,NA,Developing,HAI,Latin America and the Caribbean
Heard Island and McDonald Islands,,AN,Developed,,Australia and New Zealand
Holy See,Vatican City,EU,Developed,VAT,Southern Europe
Honduras,Tegucigalpa,NA,Developing,HON,Latin America and the Caribbean
Hungary,Budapest,EU,Developed,HUN,Eastern Europe
Iceland,Reykjavik,EU,Developed,ISL,Northern Europe
India,New Delhi,AS,Developing,IND,Southern Asia
Indonesia,Jakarta,AS,Developing,IDN,South-eastern Asia
Iran,Tehran,AS,Developing,IRN,Southern Asia
Iraq,Baghdad,AS,Developing,IRQ,Western Asia
Republic of Ireland,Dublin,EU,Developed,IRL,Northern Europe
Isle of Man,Douglas,EU,Developed,GBM,Northern Europe
Israel,Jerusalem,AS,Developing,ISR,Western Asia
Italy,Rome,EU,Developed,ITA,Southern Europe
Jamaica,Kingston,NA,Developing,JAM,Latin America and the Caribbean
Japan,Tokyo,AS,Developed,JPN,Eastern Asia
Jersey,Saint Helier,EU,Developed,GBJ,Northern Europe
Jordan,Amman,AS,Developing,JOR,Western Asia
Kazakhstan,Astana,AS,Developing,KAZ,Central Asia
Kenya,Nairobi,AF,Developing,KEN,Sub-Saharan Africa
Kiribati,Tarawa,OC,Developing,KIR,Micronesia
Kuwait,Kuwait City,AS,Developing,KUW,Western Asia
Kyrgyzstan,Bishkek,AS,Developing,KGZ,Central Asia
Lao People's Democratic Republic,Vientiane,AS,Developing,LAO,South-eastern Asia
Latvia,Riga,EU,Developed,LVA,Northern Europe
Lebanon,Beirut,AS,Developing,LIB,Western Asia
Lesotho,Maseru,AF,Developing,LES,Sub-Saharan Africa
Liberia,Monrovia,AF,Developing,LBR,Sub-Saharan Africa
Libya,Tripoli,AF,Developing,LBY,Northern Africa
Liechtenstein,Vaduz,EU,Developed,LIE,Western Europe
Lithuania,Vilnius,EU,Developed,LTU,Northern Europe
Luxembourg,Luxembourg,EU,Developed,LUX,Western Europe
Madagascar,Antananarivo,AF,Developing,MAD,Sub-Saharan Africa
Malawi,Lilongwe,AF,Developing,MWI,Sub-Saharan Africa
Malaysia,Kuala Lumpur,AS,Developing,MAS,South-eastern Asia
Maldives,Male,AS,Developing,MDV,Southern Asia
Mali,Bamako,AF,Developing,MLI,Sub-Saharan Africa
Malta,Valletta,EU,Developed,MLT,Southern Europe
Marshall Islands,Majuro,OC,Developing,MHL,Micronesia
Martinique,Fort-de-France,NA,Developing,MTQ,Latin America and the Caribbean
Mauritania,Nouakchott,AF,Developing,MTN,Sub-Saharan Africa
Mauritius,Port Louis,AF,Developing,MRI,Sub-Saharan Africa
Mayotte,Mamoudzou,AF,Developing,MYT,Sub-Saharan Africa
Mexico,Mexico City,NA,Developing,MEX,Latin America and the Caribbean
Micronesia (Federated States of),Palikir,OC,Developing,FSM,Micronesia
Monaco,Monaco,EU,Developed,MON,Western Europe
Mongolia,Ulan Bator,AS,Developing,MNG,Eastern Asia
Montenegro,Podgorica,EU,Developed,MNE,Southern Europe
Montserrat,Plymouth,NA,Developing,MSR,Latin America and the Caribbean
Morocco,Rabat,AF,Developing,MAR,Northern Africa
