official_name_en,Capital,Continent,Developed / Developing Countries,FIFA,Sub-region Name
Afghanistan,Kabul,AS,Developing,AFG,Southern Asia
Albania,Tirana,EU,Developed,ALB,Southern Europe
Algeria,Algiers,AF,Developing,ALG,Northern Africa
Angola,Luanda,AF,Developing,ANG,Sub-Saharan Africa
Antigua & Barbuda,St. John's,NA,Developing,ATG,Latin America and the Caribbean
Argentina,Buenos Aires,SA,Developing,ARG,Latin America and the Caribbean
Armenia,Yerevan,AS,Developing,ARM,Western Asia
Australia,Canberra,OC,Developed,AUS,Australia and New Zealand
Austria,Vienna,EU,Developed,AUT,Western Europe
Azerbaijan,Baku,AS,Developing,AZE,Western Asia
Barbados,Bridgetown,NA,Developing,BRB,Latin America and the Caribbean
Belarus,Minsk,EU,Developed,BLR,Eastern Europe
Belgium,Brussels,EU,Developed,BEL,Western Europe
Belize,Belmopan,NA,Developing,BLZ,Latin America and the Caribbean
Benin,Porto-Novo,AF,Developing,BEN,Sub-Saharan Africa
Bermuda,Hamilton,NA,Developed,BER,Northern America
Bolivia,Sucre,SA,Developing,BOL,Latin America and the Caribbean
Bosnia Herzegovina,Sarajevo,EU,Developed,BIH,Southern Europe
Brazil,Brasilia,SA,Developing,BRA,Latin America and the Caribbean
Brunei Darussalam,Bandar Seri Begawan,AS,Developing,BRU,South-eastern Asia
Bulgaria,Sofia,EU,Developed,BUL,Eastern Europe
Burkina Faso,Ouagadougou,AF,Developing,BFA,Sub-Saharan Africa
Burundi,Bujumbura,AF,Developing,BDI,Sub-Saharan Africa
Cameroon,Yaounde,AF,Developing,CMR,Sub-Saharan Africa
Canada,Ottawa,NA,Developed,CAN,Northern America
Cape Verde,Praia,AF,Developing,CPV,Sub-Saharan Africa
Central African Rep.,Bangui,AF,Developing,CTA,Sub-Saharan Africa
Chad,N'Djamena,AF,Developing,CHA,Sub-Saharan Africa
Chile,Santiago,SA,Developing,CHI,Latin America and the Caribbean
China PR,Beijing,AS,Developing,CHN,Eastern Asia
Colombia,Bogota,SA,Developing,COL,Latin America and the Caribbean
Comoros,Moroni,AF,Developing,COM,Sub-Saharan Africa
Congo,Brazzaville,AF,Developing,CGO,Sub-Saharan Africa
Costa Rica,San Jose,NA,Developing,CRC,Latin America and the Caribbean
Croatia,Zagreb,EU,Developed,CRO,Southern Europe
Cuba,Havana,NA,Developing,CUB,Latin America and the Caribbean
Curacao, Willemstad,NA,Developing,CUW,Latin America and the Caribbean
Cyprus,Nicosia,EU,Developing,CYP,Western Asia
Czech Republic,Prague,EU,Developed,CZE,Eastern Europe
DR Congo,Kinshasa,AF,Developing,COD,Sub-Saharan Africa
Denmark,Copenhagen,EU,Developed,DEN,Northern Europe
Dominican Republic,Santo Domingo,NA,Developing,DOM,Latin America and the Caribbean
Ecuador,Quito,SA,Developing,ECU,Latin America and the Caribbean
Egypt,Cairo,AF,Developing,EGY,Northern Africa
El Salvador,San Salvador,NA,Developing,SLV,Latin America and the Caribbean
England,London,EU,Developed,ENG,Northern Europe
Equatorial Guinea,Malabo,AF,Developing,EQG,Sub-Saharan Africa
Eritrea,Asmara,AF,Developing,ERI,Sub-Saharan Africa
Estonia,Tallinn,EU,Developed,EST,Northern Europe
Ethiopia,Addis Ababa,AF,Developing,ETH,Sub-Saharan Africa
FYR Macedonia,Skopje,EU,Developed,MKD,Southern Europe
Faroe Islands,Torshavn,EU,Developed,FRO,Northern Europe
Fiji,Suva,OC,Developing,FIJ,Melanesia
Finland,Helsinki,EU,Developed,FIN,Northern Europe
France,Paris,EU,Developed,FRA,Western Europe
Gabon,Libreville,AF,Developing,GAB,Sub-Saharan Africa
Gambia,Banjul,AF,Developing,GAM,Sub-Saharan Africa
Georgia,Tbilisi,AS,Developing,GEO,Western Asia
Germany,Berlin,EU,Developed,GER,Western Europe
Ghana,Accra,AF,Developing,GHA,Sub-Saharan Africa
Gibraltar,Gibraltar,EU,Developed,GBZ,Southern Europe
Greece,Athens,EU,Developed,GRE,Southern Europe
Grenada,St. George's,NA,Developing,GRN,Latin America and the Caribbean
Guam,Hagatna,OC,Developing,GUM,Micronesia
Guatemala,Guatemala City,NA,Developing,GUA,Latin America and the Caribbean
Guinea,Conakry,AF,Developing,GUI,Sub-Saharan Africa
Guinea Bissau,Bissau,AF,Developing,GNB,Sub-Saharan Africa
Guyana,Georgetown,SA,Developing,GUY,Latin America and the Caribbean
Haiti,Port-au-Prince,NA,Developing,HAI,Latin America and the Caribbean
Honduras,Tegucigalpa,NA,Developing,HON,Latin America and the Caribbean
Hong Kong,Hong Kong,AS,Developing,HKG,Eastern Asia
Hungary,Budapest,EU,Developed,HUN,Eastern Europe
Iceland,Reykjavik,EU,Developed,ISL,Northern Europe
India,New Delhi,AS,Developing,IND,Southern Asia
Iran,Tehran,AS,Developing,IRN,Southern Asia
Iraq,Baghdad,AS,Developing,IRQ,Western Asia
Israel,Jerusalem,AS,Developing,ISR,Western Asia
Italy,Rome,EU,Developed,ITA,Southern Europe
Ivory Coast,Yamoussoukro,AF,Developing,CIV,Sub-Saharan Africa
